Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Google_Index,count_dot,count_www,count_per,count_ques,count_hyphen,count_equal,Label
fb-recovery-10000076931-it.tk,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,2,0,0,0,3,0,1
fb-recovery-10000076932-it.tk,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,2,0,0,0,3,0,1
ml09903.xyz,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
serviceenligneverificationbp.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
alienwebwa.000webhostapp.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,3,0,0,0,0,0,1
joingrupbkp16-6666.000webhostapp.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,0,1,0,1
grupbokepkoreahot78.000webhostapp.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,3,0,0,0,0,0,1
faceprofilephotogroups.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
hotgrupdewasa-wa.000webhostapp.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,0,1,0,1
link-masuk-grup-bokep-terbaru-kk.000webhostapp.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,0,5,0,1
intesagruppoisp-web.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1
azrecpsrt.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
faceb-support.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1
grub-memek-kontol10.000webhostapp.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,0,2,0,1
group-18pluss-terbaru-2020.000webhostapp.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,0,3,0,1
dankpogs.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
mediolanum-web.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1
flo14.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
league0flegends0lgz3m.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
serviceenligneverificationbp.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
pmm.ac.in,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0,1,6,1,0,1,1,0,1
registrobnwebplataforma.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
betasusorjinals.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
betasusorjinals.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1
attivazionedecreto.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
league0flegends0msj86.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1
bitopro-claim-btc2020.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,2,0,1
